tb_displayname,log_datetime,log_date,tb_name,PowActNet_max,PowActNet_avg,Reactive_Power_min,Wind_Speed_min,Wind_Speed_max,Wind_Speed_Avg,Produced_Energy,Gea_BeaTem1_max,Gea_BeaTem_avg,Gea_BeaTem2_max,Gea_BeaTem2_avg,Gen_BeaDe_tem_max,Gen_BeaDe_Tem_avg,Gen_BeaNdeTem_max,Gen_BeaNdeTem_avg,Gea_BeaTem3_max,Gea_BeaTem3_ave,Con_LscIgbTemFilMax_max,Con_LscIgbTemFilMax_ave,Con_GscIgbTemFilMax_max,Con_GscIgbTemFilMax_ave,PlcInf_PowCrvVld_min
GGM107,01-12-2024 10:10,01-12-2024,GGM107,403.9190979,293.8791809,-132.5683594,3.748571396,7.869999886,5.702131271,48.93088531,50.89877701,50.77179337,57.32430267,57.14333344,49.99723434,49.40330124,52.07663727,51.21751785,59.62346649,59.3860817,53,50.30847549,45,41.43460083,3
GGM107,01-12-2024 10:20,01-12-2024,GGM107,248.6708221,167.4599762,-137.512207,3.108571529,7.789999962,5.376228333,27.94703102,50.65715027,50.33430862,57.1184845,56.72837067,49.47675323,49.24456406,51.93405533,51.05231094,59.56340027,59.045784,52,50.46953964,44,41.81075287,3
GGM107,01-12-2024 10:30,01-12-2024,GGM107,369.1988525,198.469574,-139.5263824,2.754285812,7.949999809,5.396476746,33.03967285,50.14608383,50.01285553,56.39416122,56.21801758,49.46695328,49.02734375,51.68416595,50.7796669,58.73972321,58.59916687,52,50.15851974,44,41.19956589,3
GGM107,01-12-2024 10:40,01-12-2024,GGM107,405.0108643,241.3001404,-136.9628906,2.662857056,7.980000019,5.425836563,40.23009491,49.93715286,49.74612808,56.05953979,55.86419678,49.19011688,48.84467316,51.8468132,50.6072731,58.80777359,58.29890442,52,49.68277359,44,40.46201324,3
GGM107,01-12-2024 10:50,01-12-2024,GGM107,543.5169678,356.9125671,-134.0332031,3.82857132,8.420000076,6.115851879,59.46559906,50.08342361,49.93540192,56.3476181,56.1232338,48.83163452,48.54266739,52.11500168,50.54304886,59.4553299,59.09761429,53,50.40096664,44,40.85545349,3
GGM107,01-12-2024 11:00,01-12-2024,GGM107,476.3653564,299.9430542,-134.9487305,3.691428661,8.229999542,5.917913914,50.02413177,50.16271973,49.99298096,56.45919037,56.37415695,49.19840622,48.80223846,52.23109436,51.07881546,59.63422012,59.31469345,53,50.55529785,44,41.38807297,3
GGM107,01-12-2024 11:10,01-12-2024,GGM107,577.5980835,317.8491516,-133.3007813,3.828571558,8.350000381,6.231529713,52.92188644,50.13937378,49.89645767,56.29613876,56.13442993,49.46587753,49.086586,52.34169006,51.34938431,59.49230576,58.91314316,53,51.10093307,45,42.03753662,3
GGM107,01-12-2024 11:20,01-12-2024,GGM107,567.3756104,363.3499146,-130.0048828,4.639999866,8.890000343,6.433417797,60.62894058,50.24126816,50.02609253,56.44392776,56.26643372,49.41636276,49.05472946,52.61170959,51.53274536,59.70182419,59.24627304,53,50.25919724,44,40.80289841,3
GGM107,01-12-2024 11:30,01-12-2024,GGM107,563.1566162,226.9092712,-137.1459961,2.742857218,9.090000153,5.497684956,37.79929733,50.26629257,49.9772377,56.5425415,56.36208725,49.77520752,49.29069519,52.92874908,51.98358917,59.76097488,59.20319366,53,49.87243652,44,40.57245255,3
GGM107,01-12-2024 11:40,01-12-2024,GGM107,354.6482849,232.4615631,-136.7797852,3.588571548,8.36000061,5.721069336,38.73711777,49.81539536,49.68770981,56.03255463,55.74493027,49.86384583,49.51353073,53.0963974,51.9152832,58.50836182,58.25612259,53,50.12501907,45,41.28921509,3
GGM107,01-12-2024 11:50,01-12-2024,GGM107,594.0592651,329.9372559,-135.3149414,3.714285612,8.680000305,6.075162888,55.0353508,50.00013733,49.77816772,55.93263245,55.74569702,49.71747208,49.28918457,52.8021698,51.85547638,59.21102524,58.75146866,53,50.65595245,44,41.23014069,3
GGM107,01-12-2024 12:00,01-12-2024,GGM107,566.5728149,329.3508911,-136.7797852,3.017143011,7.769999981,5.911439896,54.83692169,50.02307129,49.88967514,56.22294235,56.08169556,49.81698608,49.31917191,53.23727798,52.22866821,59.56824112,59.19760513,53,50.56556702,44,41.00317001,3
